lead_id,age
H202500111,41
H202500112,25
H202500112,50
H202500112,50
H202500113,18
H202500113,23
H202500113,39
H202500113,48
H202500114,41
H202500115,26
H202500115,31
H202500115,38
H202500116,21
H202500116,27
H202500116,32
H202500116,34
H202500117,54
H202500117,62
H202500117,65
H202500118,5
H202500118,21
H202500118,41
H202500118,68
H202500118,82
H202500119,30
H202500119,38
H202500119,40
H202500120,36
H202500120,41
H202500120,61
H202500121,24
H202500121,26
H202500121,49
H202500121,51
H202500122,0
H202500122,15
H202500122,38
H202500122,42
H202500122,55
H202500123,20
H202500123,35
H202500123,37
H202500124,37
H202500124,37
H202500124,52
H202500125,16
H202500125,35
H202500125,37
H202500125,37
H202500125,45
H202500125,47
H202500126,17
H202500126,49
H202500126,56
H202500126,80
H202500127,20
H202500128,24
H202500128,32
H202500128,32
H202500128,35
H202500128,77
H202500129,24
H202500129,33
H202500129,45
H202500129,54
H202500129,73
H202500130,6
H202500130,27
H202500130,55
H202500130,58
H202500131,40
H202500131,48
H202500132,14
H202500132,30
H202500132,49
H202500133,33
H202500133,80
H202500134,27
H202500134,33
H202500134,41
H202500134,55
H202500135,1
H202500135,54
H202500135,66
H202500135,69
H202500136,30
H202500136,30
H202500136,38
H202500137,8
H202500137,27
H202500137,50
H202500138,5
H202500138,48
H202500138,48
H202500139,9
H202500139,21
H202500139,38
H202500139,50
H202500140,24
H202500140,31
H202500140,38
H202500140,58
H202500141,1
H202500141,7
H202500141,28
H202500141,39
H202500142,17
H202500142,29
H202500142,32
H202500142,42
H202500142,52
H202500142,58
H202500143,25
H202500143,27
H202500143,39
H202500143,49
H202500143,55
H202500144,6
H202500144,29
H202500144,51
H202500144,67
H202500145,22
H202500145,44
H202500145,55
H202500146,23
H202500146,42
H202500147,25
H202500147,26
H202500147,33
H202500147,34
H202500147,37
H202500147,53
H202500148,4
H202500148,38
H202500148,46
H202500149,8
H202500149,52
H202500149,69
H202500150,74
H202500151,24
H202500151,26
H202500151,55
H202500151,57
H202500151,80
H202500152,21
H202500152,34
H202500152,65
H202500152,72
H202500152,77
H202500153,36
H202500153,48
H202500153,49
H202500153,50
H202500153,59
H202500154,36
H202500154,36
H202500154,37
H202500154,47
H202500154,47
H202500154,56
H202500155,20
H202500155,24
H202500155,31
H202500155,33
H202500156,33
H202500156,36
H202500156,44
H202500156,45
H202500156,45
H202500157,19
H202500157,28
H202500158,30
H202500159,20
H202500159,32
H202500159,45
H202500159,48
H202500159,51
H202500160,32
H202500161,24
H202500161,27
H202500161,27
H202500161,30
H202500161,36
H202500161,52
H202500162,0
H202500162,37
H202500162,46
H202500162,50
H202500162,52
H202500163,33
H202500163,42
H202500163,75
H202500163,77
H202500163,77
H202500164,14
H202500164,54
H202500164,72
H202500164,83
H202500165,22
H202500165,27
H202500165,33
H202500165,46
H202500165,53
H202500165,55
H202500166,22
H202500166,29
H202500166,45
H202500166,46
H202500166,56
H202500167,26
H202500167,36
H202500167,53
H202500168,21
H202500168,26
H202500168,28
H202500168,55
H202500169,48
H202500169,52
H202500169,56
H202500169,57
H202500169,63
H202500170,2
H202500170,14
H202500170,39
H202500170,42
H202500170,51
H202500171,3
H202500171,46
H202500171,53
H202500171,56
H202500172,3
H202500172,47
H202500173,3
H202500173,28
H202500173,48
H202500174,20
H202500174,33
H202500174,34
H202500174,41
H202500174,67
H202500175,8
H202500175,12
H202500176,22
H202500176,32
H202500176,35
H202500176,39
H202500177,12
H202500177,28
H202500177,79
H202500178,9
H202500178,21
H202500178,22
H202500178,39
H202500178,57
H202500179,8
H202500179,44
H202500179,50
H202500180,11
H202500180,44
H202500180,82
H202500181,10
H202500181,35
H202500181,37
H202500181,48
H202500182,20
H202500182,32
H202500183,20
H202500183,24
H202500183,27
H202500183,34
H202500183,47
H202500183,48
H202500184,20
H202500184,32
H202500184,40
H202500184,51
H202500185,19
H202500185,25
H202500185,29
H202500185,44
H202500185,66
H202500186,43
H202500186,44
H202500186,51
H202500186,58
H202500186,83
H202500187,0
H202500187,30
H202500187,30
H202500187,38
H202500187,39
H202500187,46
H202500188,37
H202500188,60
H202500188,66
H202500189,25
H202500189,50
H202500189,80
H202500189,82
H202500190,44
H202500190,55
H202500190,63
H202500191,27
H202500191,33
H202500191,40
H202500191,50
H202500191,80
H202500192,6
H202500192,26
H202500192,29
H202500192,30
H202500192,47
H202500193,50
H202500194,25
H202500194,33
H202500195,24
H202500195,29
H202500195,36
H202500195,49
H202500196,10
H202500196,26
H202500196,38
H202500196,44
H202500197,10
H202500197,25
H202500197,35
H202500197,55
H202500198,7
H202500198,27
H202500198,35
H202500199,31
H202500199,37
H202500199,48
H202500200,15
H202500200,20
H202500200,25
H202500200,38
H202500200,41
H202500201,34
H202500201,47
H202500201,52
H202500202,26
H202500202,39
H202500202,54
H202500203,20
H202500203,33
H202500203,68
H202500204,37
H202500204,40
H202500204,58
H202500204,76
H202500205,20
H202500205,44
H202500206,41
H202500206,58
H202500207,35
H202500207,41
H202500207,46
H202500207,55
H202500208,9
H202500208,39
H202500208,53
H202500208,66
H202500209,24
H202500209,38
H202500209,41
H202500210,34
H202500210,79
H202500211,16
H202500211,16
H202500211,64
H202500212,12
H202500212,31
H202500212,45
H202500212,65
H202500213,23
H202500213,36
H202500213,39
H202500213,46
H202500213,47
H202500214,32
H202500214,42
H202500214,72
H202500214,74
H202500215,6
H202500215,21
H202500215,22
H202500215,46
H202500215,48
H202500215,54
H202500216,28
H202500216,40
H202500216,45
H202500216,47
H202500216,71
H202500216,76
H202500217,31
H202500217,51
H202500218,1
H202500218,7
H202500218,13
H202500218,34
H202500219,16
H202500219,22
H202500219,24
H202500219,42
H202500220,20
H202500220,21
H202500220,30
H202500220,44
H202500221,59
H202500221,70
H202500221,80
H202500222,12
H202500222,20
H202500222,40
H202500222,41
H202500222,49
H202500222,53
H202500223,26
H202500223,44
H202500224,39
H202500224,40
H202500224,52
H202500224,75
H202500224,80
H202500225,29
H202500225,34
H202500226,20
H202500226,29
H202500226,29
H202500226,38
H202500226,42
H202500227,16
H202500227,47
H202500227,74
H202500228,28
H202500228,38
H202500228,39
H202500228,45
H202500228,73
H202500229,23
H202500229,26
H202500229,26
H202500229,52
H202500230,39
H202500230,42
H202500230,48
H202500230,65
H202500231,4
H202500231,26
H202500231,30
H202500231,50
H202500232,33
H202500232,50
H202500232,53
H202500233,23
H202500233,32
H202500233,41
H202500233,55
H202500233,57
H202500233,77
H202500234,21
H202500234,23
H202500234,44
H202500234,44
H202500234,70
H202500235,24
H202500235,27
H202500236,25
H202500236,44
H202500236,44
H202500237,8
H202500237,17
H202500237,17
H202500237,18
H202500237,35
H202500238,22
H202500238,23
H202500238,52
H202500239,1
H202500239,22
H202500239,29
H202500239,33
H202500240,28
H202500240,34
H202500240,43
H202500240,46
H202500241,2
H202500241,26
H202500241,38
H202500241,41
H202500242,38
H202500242,38
H202500242,40
H202500242,48
H202500243,30
H202500243,37
H202500243,42
H202500243,82
H202500243,83
H202500244,14
H202500244,31
H202500244,35
H202500244,36
H202500244,50
H202500245,23
H202500245,45
H202500245,63
H202500246,17
H202500246,28
H202500246,44
H202500247,25
H202500247,34
H202500247,39
H202500247,50
H202500248,20
H202500248,24
H202500248,26
H202500248,82
H202500249,20
H202500249,26
H202500249,32
H202500250,13
H202500250,37
H202500250,44
H202500250,78
H202500250,83
H202500251,27
H202500251,31
H202500251,43
H202500251,47
H202500252,29
H202500253,21
H202500253,25
H202500254,30
H202500254,42
H202500254,44
H202500254,69
H202500255,21
H202500255,42
H202500255,49
H202500255,49
H202500256,35
H202500256,39
H202500256,63
H202500257,33
H202500257,45
H202500257,51
H202500257,77
H202500258,48
H202500258,50
H202500258,54
H202500259,26
H202500259,29
H202500259,47
H202500260,20
H202500260,45
H202500260,79
H202500261,5
H202500261,25
H202500261,55
H202500262,33
H202500262,37
H202500262,43
H202500262,71
H202500262,83
H202500263,21
H202500263,35
H202500263,43
H202500263,50
H202500264,36
H202500264,70
H202500265,28
H202500265,37
H202500265,48
H202500266,43
H202500266,51
H202500266,52
H202500266,58
H202500267,11
H202500267,35
H202500267,36
H202500267,37
H202500267,49
H202500267,53
H202500268,37
H202500268,39
H202500268,52
H202500268,54
H202500269,17
H202500269,36
H202500269,39
H202500269,39
H202500269,46
H202500269,77
H202500270,2
H202500270,50
H202500270,60
H202500271,24
H202500271,40
H202500271,59
H202500271,80
H202500272,5
H202500272,7
H202500272,49
H202500272,52
H202500273,21
H202500273,22
H202500273,39
H202500274,33
H202500274,53
H202500275,3
H202500275,33
H202500275,50
H202500275,78
H202500276,20
H202500276,24
H202500276,30
H202500276,34
H202500276,50
H202500277,8
H202500277,37
H202500277,43
H202500277,49
H202500277,53
H202500278,8
H202500278,21
H202500279,34
H202500279,54
H202500279,75
H202500279,84
H202500280,29
H202500280,29
H202500280,37
H202500280,40
H202500280,45
H202500281,5
H202500281,36
H202500281,36
H202500281,41
H202500281,51
H202500282,21
H202500282,36
H202500282,42
H202500283,10
H202500283,27
H202500283,38
H202500283,39
H202500283,80
H202500284,21
H202500285,23
H202500285,30
H202500285,48
H202500285,66
H202500286,82
H202500287,11
H202500287,31
H202500287,48
H202500287,74
H202500287,81
H202500288,18
H202500288,38
H202500288,44
H202500288,48
H202500288,63
H202500289,20
H202500289,27
H202500289,44
H202500290,36
H202500290,38
H202500290,45
H202500291,24
H202500291,29
H202500291,38
H202500291,40
H202500291,54
H202500292,10
H202500292,14
H202500292,21
H202500292,31
H202500292,54
H202500292,60
H202500293,30
H202500293,48
H202500293,53
H202500294,27
H202500294,29
H202500295,1
H202500295,30
H202500295,35
H202500295,36
H202500295,36
H202500295,37
H202500296,26
H202500297,23
H202500297,31
H202500297,32
H202500297,51
H202500297,53
H202500298,30
H202500298,32
H202500298,42
H202500298,51
H202500298,51
H202500299,30
H202500299,32
H202500299,51
H202500299,55
H202500300,28
H202500300,41
H202500300,66
H202500300,71
H202500301,23
H202500301,27
H202500301,32
H202500301,44
H202500301,52
H202500302,40
H202500302,45
H202500302,47
H202500302,60
H202500303,14
H202500303,22
H202500304,32
H202500304,36
H202500304,38
H202500304,48
H202500304,52
H202500305,0
H202500305,20
H202500305,30
H202500305,43
H202500305,44
H202500306,33
H202500306,44
H202500307,42
H202500307,45
H202500307,46
H202500308,26
H202500308,42
H202500308,45
H202500308,49
H202500309,22
H202500309,22
H202500309,50
H202500310,21
H202500310,31
H202500310,44
H202500310,64
H202500311,7
H202500311,21
H202500311,28
H202500311,43
H202500311,63
H202500312,23
H202500312,45
H202500313,14
H202500313,28
H202500313,52
H202500313,77
H202500314,37
H202500314,40
H202500314,74
H202500315,36
H202500316,9
H202500316,34
H202500316,37
H202500316,38
H202500316,40
H202500316,58
H202500317,21
H202500317,44
H202500317,51
H202500317,53
H202500318,30
H202500318,36
H202500318,53
H202500319,15
H202500319,21
H202500319,23
H202500319,29
H202500319,30
H202500320,8
H202500320,13
H202500320,43
H202500321,23
H202500321,26
H202500321,44
H202500322,48
H202500322,63
H202500322,73
H202500323,16
H202500323,43
H202500323,49
H202500323,51
H202500323,55
H202500323,57
H202500324,50
H202500324,78
H202500325,5
H202500325,22
H202500325,32
H202500325,61
H202500325,75
H202500326,23
H202500326,24
H202500326,27
H202500326,41
H202500326,48
H202500327,28
H202500327,36
H202500327,51
H202500327,51
H202500327,57
H202500328,24
H202500328,46
H202500328,74
H202500329,32
H202500329,35
H202500329,41
H202500329,47
H202500329,60
H202500330,25
H202500330,25
H202500330,44
H202500330,70
H202500331,20
H202500331,32
H202500331,42
H202500331,43
H202500331,46
H202500332,26
H202500332,26
H202500332,27
H202500332,57
H202500332,69
H202500333,21
H202500333,26
H202500333,30
H202500333,35
H202500334,15
H202500334,22
H202500334,27
H202500334,28
H202500334,32
H202500334,35
H202500335,3
H202500335,23
H202500335,23
H202500335,47
H202500336,24
H202500336,26
H202500336,29
H202500336,43
H202500336,53
H202500336,83
H202500337,35
H202500337,35
H202500337,41
H202500338,33
H202500338,37
H202500338,42
H202500338,52
H202500338,57
H202500338,84
H202500339,6
H202500339,29
H202500339,30
H202500339,47
H202500340,15
H202500340,23
H202500340,25
H202500340,54
H202500340,54
H202500341,21
H202500341,27
H202500341,42
H202500341,77
H202500342,27
H202500342,29
H202500342,29
H202500342,41
H202500342,53
H202500343,35
H202500343,36
H202500343,50
H202500343,77
H202500343,83
H202500344,21
H202500344,31
H202500344,43
H202500344,50
H202500345,6
H202500345,7
H202500345,34
H202500345,49
H202500346,15
H202500346,41
H202500346,51
H202500346,69
H202500347,24
H202500347,41
H202500348,26
H202500348,29
H202500348,31
H202500348,51
H202500348,55
H202500349,46
H202500349,49
H202500349,55
H202500349,72
H202500349,78
H202500350,21
H202500350,31
H202500350,34
H202500350,39
H202500351,6
H202500351,13
H202500351,24
H202500351,44
H202500351,50
H202500352,1
H202500352,24
H202500352,25
H202500352,41
H202500352,68
H202500353,16
H202500353,24
H202500353,32
H202500353,36
H202500353,53
H202500353,72
H202500354,22
H202500354,30
H202500354,45
H202500354,56
H202500355,14
H202500355,27
H202500355,47
H202500355,48
H202500355,70
H202500356,30
H202500356,43
H202500356,45
H202500357,22
H202500357,48
H202500357,48
H202500357,52
H202500358,21
H202500358,30
H202500358,49
H202500359,11
H202500359,14
H202500359,30
H202500359,34
H202500359,57
H202500360,22
H202500360,38
H202500360,39
H202500360,43
H202500361,28
H202500361,42
H202500361,52
H202500362,34
H202500362,34
H202500362,35
H202500363,8
H202500363,11
H202500363,26
H202500363,29
H202500363,32
H202500363,33
H202500364,26
H202500364,49
H202500364,55
H202500364,55
H202500365,17
H202500365,49
H202500365,51
H202500365,55
H202500365,70
H202500366,22
H202500366,49
H202500366,52
H202500366,55
H202500367,25
H202500367,42
H202500367,50
H202500367,52
H202500368,15
H202500368,28
H202500368,33
H202500368,53
H202500369,4
H202500369,33
H202500369,42
H202500369,51
H202500369,83
H202500370,26
H202500370,36
H202500370,38
H202500371,23
H202500372,23
H202500372,34
H202500373,1
H202500373,37
H202500373,47
H202500373,80
H202500374,24
H202500374,51
H202500374,61
H202500374,69
H202500374,76
H202500375,6
H202500375,23
H202500375,70
H202500375,78
H202500376,21
H202500376,22
H202500376,31
H202500376,40
H202500377,51
H202500377,77
H202500378,20
H202500378,34
H202500378,45
H202500378,52
H202500378,54
H202500379,36
H202500379,41
H202500379,52
H202500380,26
H202500380,46
H202500380,56
H202500381,46
H202500381,52
H202500381,77
H202500382,14
H202500382,39
H202500382,54
H202500382,72
H202500383,50
H202500383,50
H202500383,64
H202500384,3
H202500384,10
H202500384,17
H202500384,27
H202500384,46
H202500384,47
H202500385,4
H202500385,32
H202500385,48
H202500385,51
H202500385,54
H202500386,0
H202500386,26
H202500386,29
H202500386,34
H202500386,34
H202500387,6
H202500387,23
H202500387,28
H202500387,29
H202500387,40
H202500387,84
H202500388,20
H202500388,27
H202500388,27
H202500388,33
H202500388,34
H202500389,0
H202500389,21
H202500389,26
H202500389,32
H202500389,45
H202500390,29
H202500390,45
H202500390,49
H202500390,69
H202500391,7
H202500391,25
H202500391,28
H202500391,49
H202500392,28
H202500393,44
H202500393,70
H202500394,25
H202500394,29
H202500394,38
H202500394,69
H202500394,71
H202500394,72
H202500395,19
H202500395,39
H202500395,56
H202500395,60
H202500395,68
H202500395,76
H202500396,21
H202500396,23
H202500396,38
H202500396,48
H202500396,60
H202500396,65
H202500397,24
H202500397,33
H202500397,34
H202500397,43
H202500397,45
H202500397,82
H202500398,51
H202500399,4
H202500399,42
H202500399,44
H202500400,49
H202500400,55
H202500400,70
H202500401,30
H202500401,30
H202500401,53
H202500402,23
H202500402,23
H202500402,33
H202500402,50
H202500402,52
H202500402,54
H202500403,22
H202500403,25
H202500403,43
H202500403,84
H202500404,4
H202500404,13
H202500404,21
H202500404,54
H202500405,30
H202500405,32
H202500405,39
H202500405,44
H202500406,2
H202500406,15
H202500406,32
H202500406,34
H202500406,43
H202500406,43
H202500407,38
H202500407,54
H202500408,23
H202500408,39
H202500408,46
H202500409,37
H202500409,45
H202500409,46
H202500409,49
H202500410,21
H202500410,31
H202500410,45
H202500410,51
H202500410,58
H202500411,31
H202500411,55
H202500411,71
H202500412,23
H202500412,57
H202500412,75
H202500413,2
H202500413,36
H202500413,37
H202500414,29
H202500414,32
H202500415,27
H202500415,41
H202500415,79
H202500416,22
H202500416,40
H202500416,41
H202500416,42
H202500416,46
H202500417,18
H202500417,19
H202500417,24
H202500417,39
H202500417,41
H202500417,47
H202500418,28
H202500418,31
H202500418,50
H202500418,53
H202500418,66
H202500418,84
H202500419,5
H202500419,24
H202500419,32
H202500419,43
H202500419,47
H202500419,75
H202500420,23
H202500420,25
H202500420,38
H202500420,51
H202500421,0
H202500421,27
H202500421,47
H202500421,59
H202500422,16
H202500422,26
H202500422,46
H202500422,54
H202500422,66
H202500423,6
H202500423,24
H202500423,25
H202500423,29
H202500423,32
H202500423,67
H202500424,7
H202500424,31
H202500424,34
H202500424,51
H202500424,83
H202500425,30
H202500425,43
H202500425,44
H202500426,30
H202500426,38
H202500426,40
H202500426,43
H202500426,62
H202500427,6
H202500427,31
H202500428,27
H202500428,28
H202500428,83
H202500429,21
H202500429,23
H202500429,30
H202500429,32
H202500429,54
H202500430,33
H202500430,44
H202500430,68
H202500431,10
H202500431,22
H202500431,37
H202500431,43
H202500431,44
H202500431,54
H202500432,39
H202500432,45
H202500432,46
H202500432,48
H202500433,0
H202500433,22
H202500433,28
H202500433,30
H202500433,52
H202500434,18
H202500434,23
H202500434,48
H202500434,50
H202500434,78
H202500435,11
H202500435,31
H202500436,4
H202500436,29
H202500436,31
H202500436,49
H202500436,66
H202500437,19
H202500437,42
H202500437,43
H202500438,20
H202500438,54
H202500438,55
H202500439,8
H202500439,36
H202500439,76
H202500440,8
H202500440,42
H202500440,83
H202500441,7
H202500441,47
H202500441,51
H202500441,72
H202500442,25
H202500442,54
H202500443,23
H202500443,41
H202500443,47
H202500444,16
H202500444,44
H202500444,46
H202500445,20
H202500445,22
H202500445,31
H202500445,37
H202500445,45
H202500445,68
H202500446,20
H202500446,36
H202500446,50
H202500447,31
H202500447,36
H202500447,72
H202500448,20
H202500448,28
H202500448,43
H202500448,50
H202500448,54
H202500449,4
H202500449,20
H202500449,23
H202500449,39
H202500450,27
H202500450,54
H202500451,12
H202500451,53
H202500452,20
H202500452,27
H202500452,45
H202500453,29
H202500453,36
H202500453,55
H202500454,28
H202500454,30
H202500454,32
H202500454,42
H202500455,55
H202500456,30
H202500456,46
H202500456,46
H202500457,26
H202500458,21
H202500458,26
H202500458,37
H202500458,45
H202500458,46
H202500459,20
H202500459,50
H202500460,21
H202500460,30
H202500460,30
H202500461,20
H202500461,42
H202500461,55
H202500462,23
H202500462,29
H202500462,46
H202500462,59
H202500463,20
H202500463,35
H202500463,41
H202500463,55
H202500464,38
H202500464,44
H202500464,59
H202500464,63
H202500464,65
H202500465,30
H202500465,31
H202500465,41
H202500465,68
H202500465,81
H202500466,21
H202500466,69
H202500466,69
H202500466,73
H202500467,28
H202500467,29
H202500467,33
H202500467,45
H202500467,66
H202500468,24
H202500468,24
H202500468,37
H202500468,45
H202500468,54
H202500468,71
H202500469,30
H202500469,34
H202500469,34
H202500469,55
H202500469,67
H202500470,10
H202500470,24
H202500470,30
H202500470,72
H202500471,28
H202500471,30
H202500471,30
H202500471,35
H202500471,54
H202500472,17
H202500472,28
H202500472,29
H202500473,23
H202500473,26
H202500473,28
H202500474,23
H202500474,38
H202500474,49
H202500475,10
H202500475,11
H202500475,25
H202500476,20
H202500476,30
H202500476,34
H202500476,49
H202500477,19
H202500477,25
H202500477,32
H202500477,36
H202500477,44
H202500477,62
H202500478,20
H202500478,38
H202500478,59
H202500478,68
H202500478,72
H202500479,26
H202500479,49
H202500479,51
H202500479,76
H202500480,27
H202500480,30
H202500481,22
H202500481,33
H202500481,41
H202500481,41
H202500482,13
H202500482,40
H202500483,3
H202500483,24
H202500483,54
H202500483,55
H202500483,78
H202500483,83
H202500484,22
H202500484,23
H202500484,24
H202500484,52
H202500485,31
H202500485,33
H202500485,36
H202500485,62
H202500486,38
H202500486,44
H202500486,48
H202500486,81
H202500487,8
H202500487,22
H202500487,24
H202500487,29
H202500487,49
H202500487,53
H202500488,27
H202500488,47
H202500488,53
H202500488,53
H202500489,1
H202500489,51
H202500489,63
H202500490,6
H202500490,24
H202500490,32
H202500490,40
H202500490,50
H202500490,51
H202500491,0
H202500491,24
H202500491,24
H202500491,50
H202500491,74
H202500492,35
H202500493,25
H202500493,47
H202500493,60
H202500494,41
H202500494,41
H202500494,45
H202500495,8
H202500495,11
H202500495,44
H202500495,44
H202500495,59
H202500496,21
H202500496,28
H202500496,32
H202500496,36
H202500496,65
H202500497,10
H202500497,38
H202500497,42
H202500497,53
H202500497,61
H202500498,23
H202500498,25
H202500498,26
H202500498,48
H202500499,27
H202500499,32
H202500499,36
H202500499,81
H202500500,30
H202500500,35
H202500500,54
H202500501,24
H202500501,56
H202500502,8
H202500502,25
H202500502,52
H202500503,24
H202500503,51
H202500503,52
H202500503,54
H202500504,48
H202500505,17
H202500505,40
H202500505,54
H202500506,8
H202500506,53
H202500506,62
H202500507,22
H202500507,33
H202500507,37
H202500507,46
H202500507,57
H202500508,0
H202500508,21
H202500508,34
H202500508,51
H202500508,73
H202500508,84
H202500509,28
H202500509,56
H202500509,69
H202500510,44
H202500510,46
H202500510,57
H202500511,40
H202500511,62
H202500512,6
H202500512,44
H202500512,54
H202500512,84
H202500513,12
H202500513,14
H202500513,26
H202500513,48
H202500513,51
H202500514,29
H202500514,39
H202500514,48
H202500514,54
H202500514,64
H202500515,34
H202500515,39
H202500515,39
H202500516,30
H202500517,49
H202500517,62
H202500518,35
H202500519,17
H202500519,29
H202500519,54
H202500519,55
H202500519,79
H202500520,32
H202500520,47
H202500520,53
H202500520,68
H202500521,20
H202500521,24
H202500521,47
H202500521,55
