lead_id,policy_id,type,sum_insured,premium,riders,co_pay_percent,room_rent_rule
H202500229,H202500229-P1,life,20000000,16073,accidental_cover,0,
H202500230,H202500230-P1,motor,300000,8215,,0,
H202500231,H202500231-P1,health,2000000,14207,,0,1% of SI
H202500231,H202500231-P2,health,1000000,31013,critical_illness,0,Single Private Room
H202500234,H202500234-P1,motor,500000,8263,,0,
H202500235,H202500235-P1,life,10000000,24004,hospital_cash;accidental_cover,0,
H202500237,H202500237-P1,motor,800000,2702,,0,
H202500239,H202500239-P1,health,500000,18487,critical_illness;room_upgrade,0,1% of SI
H202500243,H202500243-P1,health,1000000,9291,hospital_cash;critical_illness,20,1% of SI
H202500245,H202500245-P1,health,1000000,8957,hospital_cash;accidental_cover,20,No Cap
H202500245,H202500245-P2,motor,300000,10997,,0,
H202500246,H202500246-P1,life,5000000,28459,room_upgrade,0,
H202500248,H202500248-P1,health,1000000,22226,,20,Single Private Room
H202500248,H202500248-P2,health,2000000,19701,critical_illness,0,No Cap
H202500250,H202500250-P1,health,500000,11400,critical_illness,0,No Cap
H202500251,H202500251-P1,health,1000000,18261,,0,No Cap
H202500252,H202500252-P1,life,5000000,32002,critical_illness;hospital_cash,0,
H202500254,H202500254-P1,motor,500000,5898,,0,
H202500255,H202500255-P1,life,2500000,23355,critical_illness;accidental_cover,0,
H202500256,H202500256-P1,life,2500000,38854,room_upgrade;hospital_cash,0,
H202500258,H202500258-P1,motor,800000,6724,,0,
H202500258,H202500258-P2,health,2000000,32634,room_upgrade;accidental_cover,0,Single Private Room
H202500260,H202500260-P1,motor,500000,4091,,0,
H202500263,H202500263-P1,health,500000,21000,accidental_cover,0,Single Private Room
H202500264,H202500264-P1,motor,300000,8453,,0,
H202500267,H202500267-P1,motor,500000,3497,,0,
H202500267,H202500267-P2,health,500000,13993,room_upgrade;accidental_cover,0,1% of SI
H202500269,H202500269-P1,life,20000000,8371,critical_illness,0,
H202500270,H202500270-P1,life,2500000,14647,,0,
H202500271,H202500271-P1,life,10000000,29824,,0,
H202500274,H202500274-P1,motor,300000,9986,,0,
H202500276,H202500276-P1,motor,300000,7602,,0,
H202500276,H202500276-P2,life,20000000,24833,,0,
H202500277,H202500277-P1,life,2500000,20969,,0,
H202500277,H202500277-P2,health,500000,26795,,0,No Cap
H202500278,H202500278-P1,health,700000,16060,room_upgrade,20,No Cap
H202500281,H202500281-P1,motor,500000,3189,,0,
H202500282,H202500282-P1,motor,800000,7773,,0,
H202500284,H202500284-P1,life,10000000,31853,room_upgrade,0,
H202500285,H202500285-P1,health,1000000,13051,room_upgrade;accidental_cover,20,1% of SI
H202500286,H202500286-P1,life,2500000,20095,room_upgrade,0,
H202500286,H202500286-P2,health,500000,17508,critical_illness;accidental_cover,10,No Cap
H202500289,H202500289-P1,life,20000000,28299,,0,
H202500290,H202500290-P1,life,5000000,36968,critical_illness;hospital_cash,0,
H202500292,H202500292-P1,life,20000000,38377,hospital_cash,0,
H202500294,H202500294-P1,health,300000,10443,room_upgrade,10,Single Private Room
H202500294,H202500294-P2,health,300000,25207,hospital_cash;accidental_cover,20,1% of SI
H202500295,H202500295-P1,health,2000000,6349,critical_illness;accidental_cover,10,No Cap
H202500297,H202500297-P1,life,5000000,35952,hospital_cash,0,
H202500299,H202500299-P1,motor,500000,7240,,0,
H202500299,H202500299-P2,health,500000,22998,accidental_cover,10,Single Private Room
H202500300,H202500300-P1,motor,500000,3832,,0,
H202500302,H202500302-P1,health,500000,10966,,20,No Cap
H202500303,H202500303-P1,motor,800000,9298,,0,
H202500304,H202500304-P1,health,500000,30895,hospital_cash;room_upgrade,0,1% of SI
H202500304,H202500304-P2,life,10000000,38394,,0,
H202500305,H202500305-P1,health,700000,31245,,0,Single Private Room
H202500306,H202500306-P1,motor,300000,3532,,0,
H202500306,H202500306-P2,life,10000000,39402,,0,
H202500307,H202500307-P1,life,10000000,38576,accidental_cover,0,
H202500307,H202500307-P2,health,700000,22592,accidental_cover;hospital_cash,0,1% of SI
H202500309,H202500309-P1,motor,500000,10533,,0,
H202500311,H202500311-P1,life,2500000,12271,,0,
H202500312,H202500312-P1,health,1000000,21672,accidental_cover,0,No Cap
H202500318,H202500318-P1,health,500000,19417,accidental_cover,20,No Cap
H202500318,H202500318-P2,health,300000,26347,,20,1% of SI
H202500321,H202500321-P1,motor,500000,3163,,0,
H202500322,H202500322-P1,life,10000000,17434,,0,
H202500323,H202500323-P1,health,500000,32703,,10,Single Private Room
H202500324,H202500324-P1,life,20000000,22026,room_upgrade,0,
H202500324,H202500324-P2,health,700000,13970,accidental_cover;room_upgrade,0,1% of SI
H202500325,H202500325-P1,health,2000000,15320,,0,Single Private Room
H202500327,H202500327-P1,motor,500000,8119,,0,
H202500329,H202500329-P1,motor,500000,9308,,0,
H202500331,H202500331-P1,motor,500000,6531,,0,
H202500332,H202500332-P1,motor,800000,3805,,0,
H202500336,H202500336-P1,motor,800000,11911,,0,
H202500337,H202500337-P1,health,1000000,19512,critical_illness;room_upgrade,20,Single Private Room
H202500337,H202500337-P2,motor,300000,6116,,0,
H202500338,H202500338-P1,health,700000,12309,,0,No Cap
H202500339,H202500339-P1,health,2000000,23460,accidental_cover;room_upgrade,10,No Cap
H202500339,H202500339-P2,motor,500000,7074,,0,
H202500340,H202500340-P1,health,500000,32308,,0,1% of SI
H202500343,H202500343-P1,motor,800000,7335,,0,
H202500344,H202500344-P1,motor,800000,2868,,0,
H202500345,H202500345-P1,health,1000000,27103,accidental_cover,0,Single Private Room
H202500347,H202500347-P1,life,20000000,11038,critical_illness;room_upgrade,0,
H202500347,H202500347-P2,motor,300000,9488,,0,
H202500348,H202500348-P1,health,500000,15961,critical_illness;hospital_cash,10,No Cap
H202500348,H202500348-P2,life,10000000,23559,accidental_cover,0,
H202500351,H202500351-P1,motor,500000,4469,,0,
H202500352,H202500352-P1,health,2000000,12419,room_upgrade;hospital_cash,10,1% of SI
H202500353,H202500353-P1,life,5000000,21278,room_upgrade,0,
H202500353,H202500353-P2,health,1000000,23848,,10,No Cap
H202500356,H202500356-P1,health,700000,24607,room_upgrade,20,No Cap
H202500356,H202500356-P2,motor,800000,11253,,0,
H202500357,H202500357-P1,life,10000000,32933,,0,
H202500357,H202500357-P2,motor,300000,10059,,0,
H202500359,H202500359-P1,motor,300000,11673,,0,
H202500359,H202500359-P2,motor,500000,8549,,0,
H202500360,H202500360-P1,motor,300000,6401,,0,
H202500361,H202500361-P1,life,20000000,26319,accidental_cover,0,
H202500362,H202500362-P1,health,300000,15303,hospital_cash,20,1% of SI
H202500364,H202500364-P1,motor,300000,11748,,0,
H202500365,H202500365-P1,motor,300000,5456,,0,
H202500367,H202500367-P1,life,2500000,21789,room_upgrade;critical_illness,0,
H202500368,H202500368-P1,motor,300000,9960,,0,
H202500369,H202500369-P1,life,10000000,16541,,0,
H202500370,H202500370-P1,life,2500000,24364,,0,
H202500375,H202500375-P1,motor,300000,6353,,0,
H202500375,H202500375-P2,life,20000000,17607,,0,
H202500379,H202500379-P1,life,20000000,17479,critical_illness,0,
H202500379,H202500379-P2,motor,300000,9527,,0,
H202500380,H202500380-P1,motor,300000,7862,,0,
H202500384,H202500384-P1,motor,800000,8822,,0,
H202500385,H202500385-P1,life,5000000,23918,hospital_cash;room_upgrade,0,
H202500386,H202500386-P1,life,10000000,24671,hospital_cash;accidental_cover,0,
H202500386,H202500386-P2,life,20000000,11505,accidental_cover;hospital_cash,0,
H202500390,H202500390-P1,life,5000000,31790,critical_illness,0,
H202500391,H202500391-P1,motor,800000,4870,,0,
H202500394,H202500394-P1,health,700000,32572,critical_illness;room_upgrade,0,No Cap
H202500394,H202500394-P2,life,10000000,10975,,0,
H202500396,H202500396-P1,health,500000,11971,hospital_cash,20,Single Private Room
H202500396,H202500396-P2,health,300000,11174,critical_illness,0,Single Private Room
H202500398,H202500398-P1,motor,300000,3707,,0,
H202500399,H202500399-P1,life,10000000,14242,,0,
H202500400,H202500400-P1,motor,500000,7606,,0,
H202500401,H202500401-P1,health,2000000,18170,critical_illness,20,Single Private Room
H202500402,H202500402-P1,health,700000,8905,hospital_cash,10,Single Private Room
H202500402,H202500402-P2,motor,300000,4657,,0,
H202500404,H202500404-P1,health,1000000,21953,,20,No Cap
H202500404,H202500404-P2,life,20000000,44515,room_upgrade,0,
H202500405,H202500405-P1,life,5000000,34931,accidental_cover;hospital_cash,0,
H202500405,H202500405-P2,life,10000000,25468,accidental_cover;critical_illness,0,
H202500406,H202500406-P1,motor,500000,11735,,0,
H202500406,H202500406-P2,motor,500000,10681,,0,
H202500407,H202500407-P1,life,10000000,32988,hospital_cash,0,
H202500409,H202500409-P1,health,300000,18041,critical_illness,0,No Cap
H202500409,H202500409-P2,health,1000000,34060,accidental_cover;hospital_cash,0,No Cap
H202500410,H202500410-P1,motor,800000,5355,,0,
H202500410,H202500410-P2,health,700000,17914,accidental_cover,0,No Cap
H202500411,H202500411-P1,life,20000000,39357,,0,
H202500413,H202500413-P1,motor,500000,7905,,0,
H202500416,H202500416-P1,health,2000000,27301,accidental_cover,20,1% of SI
H202500418,H202500418-P1,health,500000,7221,,0,No Cap
H202500419,H202500419-P1,life,2500000,21415,accidental_cover,0,
H202500427,H202500427-P1,motor,500000,9077,,0,
H202500428,H202500428-P1,health,500000,8460,,0,No Cap
H202500428,H202500428-P2,life,2500000,10980,accidental_cover,0,
H202500432,H202500432-P1,motor,500000,9145,,0,
H202500433,H202500433-P1,health,700000,21809,accidental_cover,20,1% of SI
H202500433,H202500433-P2,motor,500000,6791,,0,
H202500434,H202500434-P1,health,1000000,18201,critical_illness;room_upgrade,0,Single Private Room
H202500436,H202500436-P1,life,10000000,19204,,0,
H202500437,H202500437-P1,motor,800000,10027,,0,
H202500439,H202500439-P1,motor,500000,10359,,0,
H202500440,H202500440-P1,life,2500000,17021,accidental_cover,0,
H202500441,H202500441-P1,motor,800000,11885,,0,
H202500442,H202500442-P1,life,2500000,23948,room_upgrade;critical_illness,0,
H202500442,H202500442-P2,motor,300000,11201,,0,
H202500444,H202500444-P1,motor,500000,9210,,0,
H202500445,H202500445-P1,life,20000000,16898,critical_illness,0,
H202500446,H202500446-P1,health,300000,26028,,0,Single Private Room
H202500446,H202500446-P2,life,5000000,8479,hospital_cash,0,
H202500448,H202500448-P1,health,300000,32166,accidental_cover,20,Single Private Room
H202500449,H202500449-P1,life,2500000,17300,critical_illness;hospital_cash,0,
H202500449,H202500449-P2,life,10000000,37234,accidental_cover,0,
H202500450,H202500450-P1,motor,500000,11279,,0,
H202500450,H202500450-P2,life,10000000,39389,room_upgrade;hospital_cash,0,
H202500452,H202500452-P1,motor,300000,8860,,0,
H202500455,H202500455-P1,motor,500000,2688,,0,
H202500455,H202500455-P2,life,20000000,36522,accidental_cover,0,
H202500456,H202500456-P1,health,1000000,20845,,20,Single Private Room
H202500457,H202500457-P1,life,5000000,31390,accidental_cover,0,
H202500458,H202500458-P1,life,5000000,26282,,0,
H202500458,H202500458-P2,motor,300000,6549,,0,
H202500459,H202500459-P1,motor,800000,9298,,0,
H202500460,H202500460-P1,life,2500000,35967,,0,
H202500462,H202500462-P1,health,500000,17926,,20,Single Private Room
H202500462,H202500462-P2,health,700000,33804,,0,1% of SI
H202500463,H202500463-P1,life,5000000,40150,room_upgrade;critical_illness,0,
H202500467,H202500467-P1,motor,500000,9478,,0,
H202500469,H202500469-P1,motor,500000,3474,,0,
H202500469,H202500469-P2,health,1000000,29544,room_upgrade,10,1% of SI
H202500471,H202500471-P1,motor,800000,4693,,0,
H202500471,H202500471-P2,health,300000,10674,,10,Single Private Room
H202500473,H202500473-P1,life,5000000,18048,,0,
H202500474,H202500474-P1,life,20000000,39314,,0,
H202500474,H202500474-P2,life,5000000,9178,hospital_cash;accidental_cover,0,
H202500477,H202500477-P1,health,700000,25805,accidental_cover,20,No Cap
H202500477,H202500477-P2,life,20000000,12552,hospital_cash,0,
H202500478,H202500478-P1,life,20000000,19334,,0,
H202500480,H202500480-P1,life,20000000,36075,,0,
H202500480,H202500480-P2,life,2500000,22935,accidental_cover;room_upgrade,0,
H202500481,H202500481-P1,health,700000,32175,hospital_cash;critical_illness,0,1% of SI
H202500481,H202500481-P2,health,500000,33146,,10,No Cap
H202500482,H202500482-P1,motor,800000,6340,,0,
H202500483,H202500483-P1,motor,500000,6133,,0,
H202500484,H202500484-P1,life,2500000,9260,accidental_cover,0,
H202500487,H202500487-P1,health,2000000,23184,accidental_cover,0,Single Private Room
H202500487,H202500487-P2,motor,800000,4610,,0,
H202500488,H202500488-P1,life,10000000,11255,room_upgrade;accidental_cover,0,
H202500488,H202500488-P2,health,2000000,29736,critical_illness;accidental_cover,0,No Cap
H202500489,H202500489-P1,life,5000000,43730,,0,
H202500489,H202500489-P2,motor,500000,9091,,0,
H202500490,H202500490-P1,motor,300000,3237,,0,
H202500496,H202500496-P1,motor,800000,5558,,0,
H202500496,H202500496-P2,life,2500000,11246,room_upgrade;critical_illness,0,
H202500497,H202500497-P1,life,2500000,28637,room_upgrade;accidental_cover,0,
H202500501,H202500501-P1,life,5000000,21988,accidental_cover;critical_illness,0,
H202500502,H202500502-P1,life,5000000,36051,room_upgrade,0,
H202500504,H202500504-P1,motor,800000,7483,,0,
H202500504,H202500504-P2,life,10000000,19313,accidental_cover;room_upgrade,0,
H202500505,H202500505-P1,life,5000000,21194,critical_illness,0,
H202500505,H202500505-P2,health,2000000,7944,accidental_cover;room_upgrade,0,Single Private Room
H202500507,H202500507-P1,life,2500000,21932,critical_illness,0,
H202500507,H202500507-P2,motor,500000,3584,,0,
H202500509,H202500509-P1,health,500000,27191,,0,Single Private Room
H202500511,H202500511-P1,life,20000000,11806,hospital_cash;accidental_cover,0,
H202500512,H202500512-P1,health,1000000,18714,critical_illness;room_upgrade,0,Single Private Room
H202500513,H202500513-P1,motor,800000,6147,,0,
H202500514,H202500514-P1,life,20000000,27540,,0,
H202500516,H202500516-P1,motor,500000,8834,,0,
H202500517,H202500517-P1,health,500000,16271,room_upgrade;critical_illness,0,No Cap
H202500517,H202500517-P2,health,500000,31999,,0,1% of SI
H202500518,H202500518-P1,life,5000000,12357,hospital_cash;room_upgrade,0,
H202500524,H202500524-P1,health,700000,21490,accidental_cover,0,Single Private Room
H202500525,H202500525-P1,life,20000000,43948,room_upgrade,0,
H202500525,H202500525-P2,health,2000000,6856,critical_illness,10,1% of SI
H202500526,H202500526-P1,life,20000000,20054,hospital_cash,0,
H202500527,H202500527-P1,health,300000,19151,accidental_cover;hospital_cash,20,Single Private Room
H202500529,H202500529-P1,motor,300000,5147,,0,
H202500529,H202500529-P2,motor,800000,3946,,0,
H202500530,H202500530-P1,motor,300000,8865,,0,
H202500531,H202500531-P1,health,700000,18542,,10,No Cap
H202500534,H202500534-P1,health,500000,9189,,20,1% of SI
H202500537,H202500537-P1,health,2000000,25663,,10,No Cap
H202500539,H202500539-P1,motor,300000,7167,,0,
H202500539,H202500539-P2,life,20000000,26980,hospital_cash,0,
H202500540,H202500540-P1,life,20000000,21401,accidental_cover,0,
H202500541,H202500541-P1,motor,800000,6724,,0,
H202500542,H202500542-P1,health,300000,16054,accidental_cover,0,No Cap
H202500544,H202500544-P1,motor,300000,5852,,0,
H202500545,H202500545-P1,health,300000,9548,hospital_cash,10,No Cap
H202500548,H202500548-P1,health,1000000,30705,room_upgrade,20,1% of SI
H202500550,H202500550-P1,life,5000000,8870,critical_illness,0,
H202500553,H202500553-P1,motor,300000,3328,,0,
H202500554,H202500554-P1,health,2000000,25153,,0,No Cap
H202500554,H202500554-P2,motor,500000,6313,,0,
H202500556,H202500556-P1,motor,800000,9731,,0,
H202500557,H202500557-P1,motor,500000,4945,,0,
H202500558,H202500558-P1,life,10000000,11257,room_upgrade;hospital_cash,0,
H202500560,H202500560-P1,life,10000000,30633,critical_illness;room_upgrade,0,
H202500560,H202500560-P2,motor,300000,3539,,0,
H202500561,H202500561-P1,life,5000000,44133,room_upgrade,0,
H202500563,H202500563-P1,health,500000,15188,,20,1% of SI
H202500564,H202500564-P1,motor,500000,6186,,0,
H202500565,H202500565-P1,health,700000,10486,room_upgrade;accidental_cover,0,Single Private Room
H202500566,H202500566-P1,motor,800000,4895,,0,
H202500567,H202500567-P1,motor,800000,3908,,0,
H202500568,H202500568-P1,life,10000000,25009,room_upgrade,0,
H202500569,H202500569-P1,life,10000000,33623,accidental_cover,0,
H202500569,H202500569-P2,life,20000000,21421,accidental_cover;critical_illness,0,
H202500570,H202500570-P1,life,10000000,22618,critical_illness,0,
H202500570,H202500570-P2,health,700000,7634,accidental_cover,20,No Cap
H202500571,H202500571-P1,motor,800000,11257,,0,
H202500572,H202500572-P1,motor,300000,10685,,0,
H202500573,H202500573-P1,health,700000,31467,critical_illness,10,Single Private Room
H202500574,H202500574-P1,life,10000000,43283,accidental_cover,0,
H202500575,H202500575-P1,motor,800000,6260,,0,
H202500578,H202500578-P1,life,10000000,19516,accidental_cover,0,
H202500579,H202500579-P1,motor,500000,6988,,0,
H202500582,H202500582-P1,health,2000000,27250,,0,Single Private Room
H202500583,H202500583-P1,health,1000000,15878,hospital_cash,10,Single Private Room
H202500583,H202500583-P2,life,5000000,35097,,0,
H202500585,H202500585-P1,health,300000,34236,,0,Single Private Room
H202500587,H202500587-P1,life,5000000,8174,,0,
H202500590,H202500590-P1,life,10000000,28956,room_upgrade,0,
H202500596,H202500596-P1,health,1000000,16563,hospital_cash,20,1% of SI
H202500597,H202500597-P1,health,300000,24537,,0,1% of SI
